! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.0.0-rc.3.flux symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : gckpp_BiadjacencyMatrix.csv
! Equation file        : gckpp.kpp
! Output root filename : gckpp
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name, species index (row), reaction index (col), stoichiometric coefficient
HNO4, 101, 43, -1.000000
NO2, 270, 43, 1.000000
H2O, 273, 43, 1.000000
OH, 279, 43, -1.000000
NO2, 270, 44, 1.000000
OH, 279, 44, 1.000000
HO2, 281, 44, -1.000000
NO3, 283, 44, -1.000000
NO2, 270, 45, 2.000000
NO, 280, 45, -1.000000
NO3, 283, 45, -1.000000
NO2, 270, 46, 1.000000
OH, 279, 46, -1.000000
HO2, 281, 46, 1.000000
NO3, 283, 46, -1.000000
N2O5, 169, 47, 1.000000
NO2, 270, 47, -1.000000
NO3, 283, 47, -1.000000
N2O5, 169, 48, -1.000000
NO2, 270, 48, 1.000000
NO3, 283, 48, 1.000000
CO2, 6, 49, 1.000000
HCOOH, 207, 49, -1.000000
H2O, 273, 49, 1.000000
OH, 279, 49, -1.000000
HO2, 281, 49, 1.000000
MOH, 214, 50, -1.000000
CH2O, 262, 50, 1.000000
OH, 279, 50, -1.000000
HO2, 281, 50, 1.000000
NO, 280, 51, 1.000000
NO3, 283, 51, -1.000000
PCO, 33, 52, 1.000000
CO, 258, 52, 1.000000
HNO3, 260, 52, 1.000000
CH2O, 262, 52, -1.000000
HO2, 281, 52, 1.000000
NO3, 283, 52, -1.000000
PCO, 33, 53, 0.050000
MCO3, 257, 53, 0.950000
CO, 258, 53, 0.050000
ALD2, 261, 53, -1.000000
CH2O, 262, 53, 0.050000
H2O, 273, 53, 1.000000
OH, 279, 53, -1.000000
HO2, 281, 53, 0.050000
MCO3, 257, 54, 1.000000
HNO3, 260, 54, 1.000000
ALD2, 261, 54, -1.000000
NO3, 283, 54, -1.000000
PAN, 63, 55, 1.000000
MCO3, 257, 55, -1.000000
NO2, 270, 55, -1.000000
PAN, 63, 56, -1.000000
MCO3, 257, 56, 1.000000
NO2, 270, 56, 1.000000
CO2, 6, 57, 1.000000
MCO3, 257, 57, -1.000000
MO2, 263, 57, 1.000000
NO2, 270, 57, 1.000000
NO, 280, 57, -1.000000
C2H6, 157, 58, -1.000000
ETO2, 213, 58, 1.000000
H2O, 273, 58, 1.000000
OH, 279, 58, -1.000000
ETO2, 213, 59, -1.000000
ALD2, 261, 59, 1.000000
NO2, 270, 59, 1.000000
NO, 280, 59, -1.000000
HO2, 281, 59, 1.000000
ETNO3, 88, 60, 1.000000
ETO2, 213, 60, -1.000000
NO, 280, 60, -1.000000
OTHRO2, 235, 61, -1.000000
ALD2, 261, 61, 1.000000
NO2, 270, 61, 1.000000
NO, 280, 61, -1.000000
HO2, 281, 61, 1.000000
C3H8, 121, 62, -1.000000
B3O2, 253, 62, 1.000000
OH, 279, 62, -1.000000
C3H8, 121, 63, -1.000000
A3O2, 233, 63, 1.000000
OH, 279, 63, -1.000000
A3O2, 233, 64, -1.000000
RCHO, 255, 64, 1.000000
NO2, 270, 64, 1.000000
NO, 280, 64, -1.000000
HO2, 281, 64, 1.000000
NPRNO3, 89, 65, 1.000000
A3O2, 233, 65, -1.000000
NO, 280, 65, -1.000000
PO2, 204, 66, -1.000000
ALD2, 261, 66, 1.000000
CH2O, 262, 66, 1.000000
NO2, 270, 66, 1.000000
NO, 280, 66, -1.000000
HO2, 281, 66, 1.000000
ALK4, 113, 67, -1.000000
R4O2, 252, 67, 1.000000
OH, 279, 67, -1.000000
ACET, 219, 68, 0.320000
MEK, 222, 68, 0.190000
A3O2, 233, 68, 0.050000
OTHRO2, 235, 68, 0.320000
R4O2, 252, 68, -1.000000
B3O2, 253, 68, 0.180000
RCHO, 255, 68, 0.140000
ALD2, 261, 68, 0.320000
MO2, 263, 68, 0.190000
NO2, 270, 68, 1.000000
NO, 280, 68, -1.000000
HO2, 281, 68, 0.270000
R4N2, 198, 69, 1.000000
R4O2, 252, 69, -1.000000
NO, 280, 69, -1.000000
R4N1, 251, 70, -1.000000
RCHO, 255, 70, 0.570000
ALD2, 261, 70, 0.860000
CH2O, 262, 70, 0.570000
NO2, 270, 70, 2.000000
NO, 280, 70, -1.000000
ATO2, 248, 71, -1.000000
MCO3, 257, 71, 1.000000
CH2O, 262, 71, 1.000000
NO2, 270, 71, 1.000000
NO, 280, 71, -1.000000
R4N2, 198, 72, 0.070000
KO2, 249, 72, -1.000000
MCO3, 257, 72, 0.930000
ALD2, 261, 72, 0.930000
NO2, 270, 72, 0.930000
NO, 280, 72, -1.000000
ACET, 219, 73, 1.000000
B3O2, 253, 73, -1.000000
NO2, 270, 73, 1.000000
NO, 280, 73, -1.000000
HO2, 281, 73, 1.000000
IPRNO3, 86, 74, 1.000000
B3O2, 253, 74, -1.000000
NO, 280, 74, -1.000000
PRN1, 197, 75, -1.000000
ALD2, 261, 75, 1.000000
CH2O, 262, 75, 1.000000
NO2, 270, 75, 2.000000
NO, 280, 75, -1.000000
ALK4, 113, 76, -1.000000
R4O2, 252, 76, 1.000000
HNO3, 260, 76, 1.000000
NO3, 283, 76, -1.000000
R4N2, 198, 77, -1.000000
R4N1, 251, 77, 1.000000
H2O, 273, 77, 1.000000
OH, 279, 77, -1.000000
CO2, 6, 78, 1.000000
ACTA, 215, 78, -1.000000
MO2, 263, 78, 1.000000
H2O, 273, 78, 1.000000
OH, 279, 78, -1.000000
RCO3, 250, 79, 1.000000
RCHO, 255, 79, -1.000000
H2O, 273, 79, 1.000000
OH, 279, 79, -1.000000
PPN, 49, 80, 1.000000
RCO3, 250, 80, -1.000000
NO2, 270, 80, -1.000000
PPN, 49, 81, -1.000000
RCO3, 250, 81, 1.000000
NO2, 270, 81, 1.000000
A3O2, 233, 82, 0.070000
OTHRO2, 235, 82, 0.500000
RCO3, 250, 82, -1.000000
B3O2, 253, 82, 0.270000
NO2, 270, 82, 1.000000
NO, 280, 82, -1.000000
RCO3, 250, 83, 1.000000
RCHO, 255, 83, -1.000000
HNO3, 260, 83, 1.000000
NO3, 283, 83, -1.000000
ACET, 219, 84, -1.000000
ATO2, 248, 84, 1.000000
H2O, 273, 84, 1.000000
OH, 279, 84, -1.000000
ROH, 154, 85, 0.250000
MOH, 214, 85, 0.250000
A3O2, 233, 85, -1.000000
RCHO, 255, 85, 0.750000
CH2O, 262, 85, 0.750000
MO2, 263, 85, -1.000000
HO2, 281, 85, 1.000000
ROH, 154, 86, 0.250000
PO2, 204, 86, -1.000000
MOH, 214, 86, 0.250000
HAC, 246, 86, 0.160000
RCHO, 255, 86, 0.090000
ALD2, 261, 86, 0.500000
CH2O, 262, 86, 1.250000
MO2, 263, 86, -1.000000
HO2, 281, 86, 1.000000
R4P, 91, 87, 1.000000
R4O2, 252, 87, -1.000000
HO2, 281, 87, -1.000000
R4N2, 198, 88, 1.000000
R4N1, 251, 88, -1.000000
HO2, 281, 88, -1.000000
ATOOH, 193, 89, 0.850000
ATO2, 248, 89, -1.000000
MCO3, 257, 89, 0.150000
CH2O, 262, 89, 0.150000
OH, 279, 89, 0.150000
HO2, 281, 89, -1.000000
ATOOH, 193, 90, 0.850000
KO2, 249, 90, -1.000000
MCO3, 257, 90, 0.150000
ALD2, 261, 90, 0.150000
OH, 279, 90, 0.150000
HO2, 281, 90, -1.000000
RB3P, 93, 91, 1.000000
B3O2, 253, 91, -1.000000
HO2, 281, 91, -1.000000
PRPN, 112, 92, 1.000000
PRN1, 197, 92, -1.000000
HO2, 281, 92, -1.000000
MEK, 222, 93, -1.000000
KO2, 249, 93, 1.000000
H2O, 273, 93, 1.000000
OH, 279, 93, -1.000000
EOH, 129, 94, 0.250000
ETO2, 213, 94, -1.000000
MOH, 214, 94, 0.250000
ALD2, 261, 94, 0.750000
CH2O, 262, 94, 0.750000
MO2, 263, 94, -1.000000
HO2, 281, 94, 1.000000
EOH, 129, 95, 0.250000
MOH, 214, 95, 0.250000
OTHRO2, 235, 95, -1.000000
ALD2, 261, 95, 0.750000
CH2O, 262, 95, 0.750000
MO2, 263, 95, -1.000000
HO2, 281, 95, 1.000000
MEK, 222, 96, -1.000000
KO2, 249, 96, 1.000000
HNO3, 260, 96, 1.000000
NO3, 283, 96, -1.000000
ROH, 154, 97, 0.250000
MOH, 214, 97, 0.250000
ACET, 219, 97, 0.160000
MEK, 222, 97, 0.350000
A3O2, 233, 97, 0.030000
OTHRO2, 235, 97, 0.160000
R4O2, 252, 97, -1.000000
B3O2, 253, 97, 0.090000
RCHO, 255, 97, 0.070000
ALD2, 261, 97, 0.160000
CH2O, 262, 97, 0.750000
MO2, 263, 97, -0.910000
HO2, 281, 97, 0.640000
ROH, 154, 98, 0.250000
MOH, 214, 98, 0.250000
R4N1, 251, 98, -1.000000
R4O2, 252, 98, 0.150000
RCHO, 255, 98, 0.540000
ALD2, 261, 98, 0.380000
CH2O, 262, 98, 0.950000
MO2, 263, 98, -1.000000
NO2, 270, 98, 1.000000
HO2, 281, 98, 0.500000
MOH, 214, 99, 0.500000
MGLY, 228, 99, 0.500000
HAC, 246, 99, 0.200000
ATO2, 248, 99, -1.000000
MCO3, 257, 99, 0.300000
CH2O, 262, 99, 0.500000
MO2, 263, 99, -1.000000
HO2, 281, 99, 0.300000
ROH, 154, 100, 0.250000
MOH, 214, 100, 0.250000
MEK, 222, 100, 0.250000
KO2, 249, 100, -1.000000
MCO3, 257, 100, 0.500000
ALD2, 261, 100, 0.500000
CH2O, 262, 100, 0.750000
MO2, 263, 100, -1.000000
HO2, 281, 100, 0.500000
ROH, 154, 101, 0.250000
MOH, 214, 101, 0.250000
ACET, 219, 101, 0.750000
B3O2, 253, 101, -1.000000
CH2O, 262, 101, 0.750000
MO2, 263, 101, -1.000000
HO2, 281, 101, 1.000000
ROH, 154, 102, 0.250000
PRN1, 197, 102, -1.000000
MOH, 214, 102, 0.250000
RCHO, 255, 102, 0.250000
ALD2, 261, 102, 0.500000
CH2O, 262, 102, 1.250000
MO2, 263, 102, -1.000000
NO2, 270, 102, 1.000000
HO2, 281, 102, 0.500000
EOH, 129, 103, -1.000000
ALD2, 261, 103, 1.000000
OH, 279, 103, -1.000000
HO2, 281, 103, 1.000000
ROH, 154, 104, -1.000000
RCHO, 255, 104, 1.000000
OH, 279, 104, -1.000000
HO2, 281, 104, 1.000000
ETO2, 213, 105, -2.000000
ALD2, 261, 105, 2.000000
HO2, 281, 105, 2.000000
OTHRO2, 235, 106, -2.000000
ALD2, 261, 106, 2.000000
HO2, 281, 106, 2.000000
EOH, 129, 107, 1.000000
ETO2, 213, 107, -2.000000
ALD2, 261, 107, 1.000000
EOH, 129, 108, 1.000000
OTHRO2, 235, 108, -2.000000
ALD2, 261, 108, 1.000000
ETP, 109, 109, 1.000000
ETO2, 213, 109, -1.000000
HO2, 281, 109, -1.000000
ETP, 109, 110, 1.000000
OTHRO2, 235, 110, -1.000000
HO2, 281, 110, -1.000000
RA3P, 92, 111, 1.000000
A3O2, 233, 111, -1.000000
HO2, 281, 111, -1.000000
PP, 111, 112, 1.000000
PO2, 204, 112, -1.000000
HO2, 281, 112, -1.000000
POx, 31, 113, 0.150000
RP, 94, 113, 0.410000
A3O2, 233, 113, 0.030000
OTHRO2, 235, 113, 0.220000
RCO3, 250, 113, -1.000000
B3O2, 253, 113, 0.120000
O3, 269, 113, 0.150000
OH, 279, 113, 0.440000
HO2, 281, 113, -1.000000
PO2, 204, 114, 1.000000
PRPE, 254, 114, -1.000000
OH, 279, 114, -1.000000
LOx, 32, 115, 1.000000
PCO, 33, 115, 0.560000
CH4, 186, 115, 0.100000
CH3CHOO, 191, 115, 0.120000
CH2OO, 230, 115, 0.120000
PRPE, 254, 115, -1.000000
CO, 258, 115, 0.560000
ALD2, 261, 115, 0.500000
CH2O, 262, 115, 0.500000
MO2, 263, 115, 0.280000
O3, 269, 115, -1.000000
OH, 279, 115, 0.360000
HO2, 281, 115, 0.280000
CO2, 6, 116, 0.361000
PCO, 33, 116, 0.505000
HCOOH, 207, 116, 0.134000
GLYX, 218, 116, 0.134000
GLYC, 232, 116, -1.000000
CO, 258, 116, 0.505000
CH2O, 262, 116, 0.732000
OH, 279, 116, -0.773000
HO2, 281, 116, 0.773000
PCO, 33, 117, 1.000000
HCOOH, 207, 117, 1.000000
GLYC, 232, 117, -1.000000
CO, 258, 117, 1.000000
PRN1, 197, 118, 1.000000
PRPE, 254, 118, -1.000000
NO3, 283, 118, -1.000000
PCO, 33, 119, 2.000000
GLYX, 218, 119, -1.000000
CO, 258, 119, 2.000000
OH, 279, 119, -1.000000
HO2, 281, 119, 1.000000
PCO, 33, 120, 1.000000
MGLY, 228, 120, -1.000000
MCO3, 257, 120, 1.000000
CO, 258, 120, 1.000000
OH, 279, 120, -1.000000
PCO, 33, 121, 2.000000
GLYX, 218, 121, -1.000000
CO, 258, 121, 2.000000
HNO3, 260, 121, 1.000000
HO2, 281, 121, 1.000000
NO3, 283, 121, -1.000000
PCO, 33, 122, 1.000000
MGLY, 228, 122, -1.000000
MCO3, 257, 122, 1.000000
CO, 258, 122, 1.000000
HNO3, 260, 122, 1.000000
NO3, 283, 122, -1.000000
MGLY, 228, 123, 1.000000
HAC, 246, 123, -1.000000
OH, 279, 123, -1.000000
HO2, 281, 123, 1.000000
CO2, 6, 124, 0.500000
PCO, 33, 124, 0.500000
HCOOH, 207, 124, 0.500000
ACTA, 215, 124, 0.500000
HAC, 246, 124, -1.000000
CO, 258, 124, 0.500000
MO2, 263, 124, 0.500000
A3O2, 233, 125, -1.000000
RCHO, 255, 125, 1.000000
MCO3, 257, 125, -1.000000
MO2, 263, 125, 1.000000
HO2, 281, 125, 1.000000
PO2, 204, 126, -1.000000
MCO3, 257, 126, -1.000000
ALD2, 261, 126, 1.000000
CH2O, 262, 126, 1.000000
MO2, 263, 126, 1.000000
HO2, 281, 126, 1.000000
ACTA, 215, 127, 1.000000
A3O2, 233, 127, -1.000000
RCHO, 255, 127, 1.000000
MCO3, 257, 127, -1.000000
PO2, 204, 128, -1.000000
ACTA, 215, 128, 1.000000
HAC, 246, 128, 0.650000
RCHO, 255, 128, 0.350000
MCO3, 257, 128, -1.000000
A3O2, 233, 129, 0.070000
OTHRO2, 235, 129, 0.500000
RCO3, 250, 129, -1.000000
B3O2, 253, 129, 0.270000
CH2O, 262, 129, 1.000000
MO2, 263, 129, -1.000000
HO2, 281, 129, 1.000000
RCO3, 250, 130, -1.000000
CH2O, 262, 130, 1.000000
MO2, 263, 130, -1.000000
PRPN, 112, 131, -1.000000
PROPNN, 194, 131, 0.791000
PRN1, 197, 131, 0.209000
OH, 279, 131, -0.209000
ETP, 109, 132, -1.000000
OTHRO2, 235, 132, 0.360000
ALD2, 261, 132, 0.640000
OH, 279, 132, -0.360000
RA3P, 92, 133, -1.000000
A3O2, 233, 133, 0.360000
RCHO, 255, 133, 0.640000
OH, 279, 133, -0.360000
RB3P, 93, 134, -1.000000
ACET, 219, 134, 0.791000
B3O2, 253, 134, 0.209000
OH, 279, 134, -0.209000
R4P, 91, 135, -1.000000
R4O2, 252, 135, 0.209000
RCHO, 255, 135, 0.791000
OH, 279, 135, -0.209000
RP, 94, 136, -1.000000
RCO3, 250, 136, 1.000000
OH, 279, 136, -1.000000
PP, 111, 137, -1.000000
PO2, 204, 137, 0.209000
HAC, 246, 137, 0.791000
OH, 279, 137, -0.209000
LVOC, 23, 138, -1.000000
MAP, 66, 139, -1.000000
MCO3, 257, 139, 1.000000
OH, 279, 139, -1.000000
C2H6, 157, 140, -1.000000
ETO2, 213, 140, 1.000000
HNO3, 260, 140, 1.000000
NO3, 283, 140, -1.000000
MCO3, 257, 141, -2.000000
MO2, 263, 141, 2.000000
MCO3, 257, 142, -1.000000
CH2O, 262, 142, 1.000000
HO2, 281, 142, 1.000000
ACTA, 215, 143, 1.000000
MCO3, 257, 143, -1.000000
CH2O, 262, 143, 1.000000
MO2, 263, 143, -1.000000
ACET, 219, 144, 0.320000
MEK, 222, 144, 0.190000
A3O2, 233, 144, 0.050000
OTHRO2, 235, 144, 0.320000
R4O2, 252, 144, -1.000000
B3O2, 253, 144, 0.180000
RCHO, 255, 144, 0.130000
MCO3, 257, 144, -1.000000
ALD2, 261, 144, 0.320000
MO2, 263, 144, 1.000000
HO2, 281, 144, 0.270000
ATO2, 248, 145, -1.000000
CH2O, 262, 145, 1.000000
MO2, 263, 145, 1.000000
KO2, 249, 146, -1.000000
ALD2, 261, 146, 1.000000
MO2, 263, 146, 1.000000
ACET, 219, 147, 1.000000
B3O2, 253, 147, -1.000000
MCO3, 257, 147, -1.000000
MO2, 263, 147, 1.000000
HO2, 281, 147, 1.000000
R4N1, 251, 148, -1.000000
R4O2, 252, 148, 0.300000
RCHO, 255, 148, 0.570000
MCO3, 257, 148, -1.000000
ALD2, 261, 148, 0.750000
CH2O, 262, 148, 0.390000
MO2, 263, 148, 1.000000
NO2, 270, 148, 1.000000
PRN1, 197, 149, -1.000000
MCO3, 257, 149, -1.000000
ALD2, 261, 149, 1.000000
CH2O, 262, 149, 1.000000
MO2, 263, 149, 1.000000
NO2, 270, 149, 1.000000
ACTA, 215, 150, 1.000000
MEK, 222, 150, 1.000000
R4O2, 252, 150, -1.000000
MCO3, 257, 150, -1.000000
ACTA, 215, 151, 1.000000
MGLY, 228, 151, 1.000000
ATO2, 248, 151, -1.000000
MCO3, 257, 151, -1.000000
ACTA, 215, 152, 1.000000
MEK, 222, 152, 1.000000
KO2, 249, 152, -1.000000
MCO3, 257, 152, -1.000000
ACTA, 215, 153, 1.000000
R4N1, 251, 153, -1.000000
RCHO, 255, 153, 1.000000
MCO3, 257, 153, -1.000000
NO2, 270, 153, 1.000000
PRN1, 197, 154, -1.000000
ACTA, 215, 154, 1.000000
RCHO, 255, 154, 1.000000
MCO3, 257, 154, -1.000000
NO2, 270, 154, 1.000000
ACTA, 215, 155, 1.000000
ACET, 219, 155, 1.000000
B3O2, 253, 155, -1.000000
MCO3, 257, 155, -1.000000
ETO2, 213, 156, -1.000000
MCO3, 257, 156, -1.000000
ALD2, 261, 156, 1.000000
MO2, 263, 156, 1.000000
HO2, 281, 156, 1.000000
OTHRO2, 235, 157, -1.000000
MCO3, 257, 157, -1.000000
ALD2, 261, 157, 1.000000
MO2, 263, 157, 1.000000
HO2, 281, 157, 1.000000
ETO2, 213, 158, -1.000000
ACTA, 215, 158, 1.000000
MCO3, 257, 158, -1.000000
ALD2, 261, 158, 1.000000
ACTA, 215, 159, 1.000000
OTHRO2, 235, 159, -1.000000
MCO3, 257, 159, -1.000000
ALD2, 261, 159, 1.000000
A3O2, 233, 160, 0.070000
OTHRO2, 235, 160, 0.500000
RCO3, 250, 160, -1.000000
B3O2, 253, 160, 0.270000
MCO3, 257, 160, -1.000000
MO2, 263, 160, 1.000000
NO2, 270, 161, 2.000000
NO3, 283, 161, -2.000000
MPN, 71, 162, 1.000000
MO2, 263, 162, -1.000000
NO2, 270, 162, -1.000000
MPN, 71, 163, -1.000000
MO2, 263, 163, 1.000000
NO2, 270, 163, 1.000000
DMS, 82, 164, -1.000000
CH2O, 262, 164, 1.000000
MO2, 263, 164, 1.000000
OH, 279, 164, -1.000000
SO2, 286, 164, 1.000000
MSA, 27, 165, 0.250000
DMS, 82, 165, -1.000000
MO2, 263, 165, 1.000000
OH, 279, 165, -1.000000
SO2, 286, 165, 0.750000
DMS, 82, 166, -1.000000
HNO3, 260, 166, 1.000000
CH2O, 262, 166, 1.000000
MO2, 263, 166, 1.000000
NO3, 283, 166, -1.000000
SO2, 286, 166, 1.000000
PSO4, 35, 167, 1.000000
SO4, 108, 167, 1.000000
OH, 279, 167, -1.000000
HO2, 281, 167, 1.000000
SO2, 286, 167, -1.000000
LOx, 32, 168, 1.000000
O3, 269, 168, -1.000000
BrO, 274, 168, 1.000000
Br, 287, 168, -1.000000
HOBr, 256, 169, 1.000000
BrO, 274, 169, -1.000000
HO2, 281, 169, -1.000000
HBr, 272, 170, 1.000000
HO2, 281, 170, -1.000000
Br, 287, 170, -1.000000
HBr, 272, 171, -1.000000
H2O, 273, 171, 1.000000
OH, 279, 171, -1.000000
Br, 287, 171, 1.000000
BrO, 274, 172, -2.000000
Br, 287, 172, 2.000000
Br2, 124, 173, 1.000000
BrO, 274, 173, -2.000000
NO2, 270, 174, 1.000000
BrO, 274, 174, -1.000000
NO, 280, 174, -1.000000
Br, 287, 174, 1.000000
Br2, 124, 175, 1.000000
BrNO3, 172, 175, -1.000000
