! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.0.0-rc.3.flux symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : gckpp_BiadjacencyMatrix.csv
! Equation file        : gckpp.kpp
! Output root filename : gckpp
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name, species index (row), reaction index (col), stoichiometric coefficient
NO3, 283, 175, 1.000000
Br, 287, 175, -1.000000
Br2, 124, 176, -1.000000
HOBr, 256, 176, 1.000000
OH, 279, 176, -1.000000
Br, 287, 176, 1.000000
HOBr, 256, 177, -1.000000
BrO, 274, 177, 1.000000
OH, 279, 177, 1.000000
O, 284, 177, -1.000000
HBr, 272, 178, -1.000000
OH, 279, 178, 1.000000
O, 284, 178, -1.000000
Br, 287, 178, 1.000000
BrO, 274, 179, -1.000000
OH, 279, 179, -1.000000
HO2, 281, 179, 1.000000
Br, 287, 179, 1.000000
NO2, 270, 180, 1.000000
BrO, 274, 180, 1.000000
NO3, 283, 180, -1.000000
Br, 287, 180, -1.000000
PCO, 33, 181, 1.000000
CO, 258, 181, 1.000000
CH2O, 262, 181, -1.000000
HBr, 272, 181, 1.000000
HO2, 281, 181, 1.000000
Br, 287, 181, -1.000000
MCO3, 257, 182, 1.000000
ALD2, 261, 182, -1.000000
HBr, 272, 182, 1.000000
Br, 287, 182, -1.000000
ACET, 219, 183, -1.000000
ATO2, 248, 183, 1.000000
HBr, 272, 183, 1.000000
Br, 287, 183, -1.000000
C2H6, 157, 184, -1.000000
ETO2, 213, 184, 1.000000
HBr, 272, 184, 1.000000
Br, 287, 184, -1.000000
C3H8, 121, 185, -1.000000
A3O2, 233, 185, 1.000000
HBr, 272, 185, 1.000000
Br, 287, 185, -1.000000
BrNO2, 50, 186, 1.000000
NO2, 270, 186, -1.000000
Br, 287, 186, -1.000000
BrNO3, 172, 187, 1.000000
NO2, 270, 187, -1.000000
BrO, 274, 187, -1.000000
CHBr3, 74, 188, -1.000000
OH, 279, 188, -1.000000
Br, 287, 188, 3.000000
CH2Br2, 70, 189, -1.000000
OH, 279, 189, -1.000000
Br, 287, 189, 2.000000
CH3Br, 97, 190, -1.000000
H2O, 273, 190, 1.000000
OH, 279, 190, -1.000000
HO2, 281, 190, 1.000000
Br, 287, 190, 1.000000
O1D, 268, 191, -1.000000
H2O, 273, 191, -1.000000
OH, 279, 191, 2.000000
O1D, 268, 192, -1.000000
O, 284, 192, 1.000000
O1D, 268, 193, -1.000000
O, 284, 193, 1.000000
H, 173, 194, 1.000000
O1D, 268, 194, -1.000000
OH, 279, 194, 1.000000
N2O, 57, 195, -1.000000
O1D, 268, 195, -1.000000
N2O, 57, 196, -1.000000
O1D, 268, 196, -1.000000
NO, 280, 196, 2.000000
LCH4, 36, 197, 1.000000
CH4, 186, 197, -1.000000
MO2, 263, 197, 1.000000
O1D, 268, 197, -1.000000
OH, 279, 197, 1.000000
LCH4, 36, 198, 1.000000
CH4, 186, 198, -1.000000
CH2O, 262, 198, 1.000000
O1D, 268, 198, -1.000000
LCH4, 36, 199, 1.000000
H, 173, 199, 1.000000
CH4, 186, 199, -1.000000
CH2O, 262, 199, 1.000000
O1D, 268, 199, -1.000000
HO2, 281, 199, 1.000000
POx, 31, 200, 1.000000
O3, 269, 200, 1.000000
O, 284, 200, -1.000000
LOx, 32, 201, 1.000000
O3, 269, 201, -1.000000
O, 284, 201, -1.000000
H, 173, 202, 1.000000
H2O, 273, 202, 1.000000
OH, 279, 202, -1.000000
H, 173, 203, 1.000000
OH, 279, 203, -1.000000
O, 284, 203, -1.000000
OH, 279, 204, 1.000000
HO2, 281, 204, -1.000000
O, 284, 204, -1.000000
LOx, 32, 205, 1.000000
O1D, 268, 205, -1.000000
O3, 269, 205, -1.000000
LOx, 32, 206, 1.000000
O1D, 268, 206, -1.000000
O3, 269, 206, -1.000000
O, 284, 206, 2.000000
PCO, 33, 207, 1.000000
OCS, 62, 207, -1.000000
CO, 258, 207, 1.000000
O, 284, 207, -1.000000
SO2, 286, 207, 1.000000
CO2, 6, 208, 1.000000
OCS, 62, 208, -1.000000
OH, 279, 208, -1.000000
SO2, 286, 208, 1.000000
NO2, 270, 209, -1.000000
NO, 280, 209, 1.000000
O, 284, 209, -1.000000
NO2, 270, 210, 1.000000
NO3, 283, 210, -1.000000
O, 284, 210, -1.000000
NO2, 270, 211, 1.000000
NO, 280, 211, -1.000000
O, 284, 211, -1.000000
NO2, 270, 212, -1.000000
NO3, 283, 212, 1.000000
O, 284, 212, -1.000000
H2O2, 208, 213, -1.000000
OH, 279, 213, 1.000000
HO2, 281, 213, 1.000000
O, 284, 213, -1.000000
H, 173, 214, -1.000000
HO2, 281, 214, 1.000000
LOx, 32, 215, 1.000000
H, 173, 215, -1.000000
O3, 269, 215, -1.000000
OH, 279, 215, 1.000000
H, 173, 216, -1.000000
OH, 279, 216, 2.000000
HO2, 281, 216, -1.000000
H, 173, 217, -1.000000
H2O, 273, 217, 1.000000
HO2, 281, 217, -1.000000
O, 284, 217, 1.000000
H, 173, 218, -1.000000
HO2, 281, 218, -1.000000
N, 61, 219, -1.000000
NO, 280, 219, 1.000000
O, 284, 219, 1.000000
N, 61, 220, -1.000000
NO, 280, 220, -1.000000
O, 284, 220, 1.000000
N2O, 57, 221, 1.000000
N, 61, 221, -1.000000
NO2, 270, 221, -1.000000
O, 284, 221, 1.000000
BrO, 274, 222, -1.000000
O, 284, 222, -1.000000
Br, 287, 222, 1.000000
PCO, 33, 223, 1.000000
CO, 258, 223, 1.000000
CH2O, 262, 223, -1.000000
OH, 279, 223, 1.000000
HO2, 281, 223, 1.000000
O, 284, 223, -1.000000
H, 173, 224, 0.240000
O1D, 268, 224, -1.000000
HCl, 271, 224, -0.910000
ClO, 277, 224, 0.240000
OH, 279, 224, 0.670000
O, 284, 224, 0.090000
Cl, 285, 224, 0.670000
H, 173, 225, 0.150000
O1D, 268, 225, -1.000000
HBr, 272, 225, -0.800000
BrO, 274, 225, 0.150000
OH, 279, 225, 0.650000
O, 284, 225, 0.200000
Br, 287, 225, 0.650000
Cl2, 192, 226, -0.750000
O1D, 268, 226, -1.000000
ClO, 277, 226, 0.750000
O, 284, 226, 0.250000
Cl, 285, 226, 0.750000
CCl4, 51, 227, -0.860000
O1D, 268, 227, -1.000000
ClO, 277, 227, 0.860000
O, 284, 227, 0.140000
Cl, 285, 227, 2.580000
CH3Br, 97, 228, -1.000000
MO2, 263, 228, 1.000000
O1D, 268, 228, -1.000000
BrO, 274, 228, 0.440000
Br, 287, 228, 0.560000
CH2Br2, 70, 229, -0.950000
O1D, 268, 229, -1.000000
BrO, 274, 229, 0.950000
O, 284, 229, 0.050000
Br, 287, 229, 0.950000
CHBr3, 74, 230, -0.680000
O1D, 268, 230, -1.000000
BrO, 274, 230, 0.680000
O, 284, 230, 0.320000
Br, 287, 230, 1.360000
HCFC22, 81, 231, -0.720000
O1D, 268, 231, -1.000000
ClO, 277, 231, 0.550000
O, 284, 231, 0.280000
Cl, 285, 231, 0.170000
CFC11, 52, 232, -0.880000
O1D, 268, 232, -1.000000
ClO, 277, 232, 0.880000
O, 284, 232, 0.120000
Cl, 285, 232, 1.760000
CFC12, 53, 233, -0.860000
O1D, 268, 233, -1.000000
ClO, 277, 233, 0.860000
O, 284, 233, 0.140000
Cl, 285, 233, 0.860000
H1211, 55, 234, -0.640000
O1D, 268, 234, -1.000000
BrO, 274, 234, 0.310000
ClO, 277, 234, 0.330000
O, 284, 234, 0.360000
Cl, 285, 234, 0.310000
Br, 287, 234, 0.330000
H1301, 44, 235, -0.410000
O1D, 268, 235, -1.000000
BrO, 274, 235, 0.410000
O, 284, 235, 0.590000
HCFC141b, 79, 236, -0.690000
O1D, 268, 236, -1.000000
ClO, 277, 236, 0.690000
O, 284, 236, 0.310000
Cl, 285, 236, 0.690000
HCFC142b, 80, 237, -0.740000
O1D, 268, 237, -1.000000
ClO, 277, 237, 0.740000
O, 284, 237, 0.260000
HCFC123, 78, 238, -0.790000
O1D, 268, 238, -1.000000
ClO, 277, 238, 0.790000
O, 284, 238, 0.210000
Cl, 285, 238, 0.790000
CFC113, 48, 239, -0.750000
O1D, 268, 239, -1.000000
ClO, 277, 239, 0.750000
O, 284, 239, 0.250000
Cl, 285, 239, 1.500000
CFC114, 42, 240, -0.750000
O1D, 268, 240, -1.000000
ClO, 277, 240, 0.750000
O, 284, 240, 0.250000
Cl, 285, 240, 0.750000
CFC115, 46, 241, -0.300000
O1D, 268, 241, -1.000000
ClO, 277, 241, 0.300000
O, 284, 241, 0.700000
H2402, 45, 242, -0.750000
O1D, 268, 242, -1.000000
BrO, 274, 242, 0.750000
O, 284, 242, 0.250000
Br, 287, 242, 0.750000
Cl2, 192, 243, -1.000000
HOCl, 267, 243, 1.000000
OH, 279, 243, -1.000000
Cl, 285, 243, 1.000000
ClOO, 103, 244, 1.000000
CH2O, 262, 244, 1.000000
MO2, 263, 244, -1.000000
ClO, 277, 244, -1.000000
HO2, 281, 244, 1.000000
ClO, 277, 245, -1.000000
OH, 279, 245, -1.000000
HO2, 281, 245, 1.000000
Cl, 285, 245, 1.000000
HCl, 271, 246, 1.000000
ClO, 277, 246, -1.000000
OH, 279, 246, -1.000000
OClO, 107, 247, -1.000000
HOCl, 267, 247, 1.000000
OH, 279, 247, -1.000000
Cl2O2, 72, 248, -1.000000
ClOO, 103, 248, 1.000000
HOCl, 267, 248, 1.000000
OH, 279, 248, -1.000000
HCl, 271, 249, -1.000000
H2O, 273, 249, 1.000000
OH, 279, 249, -1.000000
Cl, 285, 249, 1.000000
HOCl, 267, 250, -1.000000
H2O, 273, 250, 1.000000
ClO, 277, 250, 1.000000
OH, 279, 250, -1.000000
ClNO2, 231, 251, -1.000000
HOCl, 267, 251, 1.000000
NO2, 270, 251, 1.000000
OH, 279, 251, -1.000000
ClNO3, 259, 252, -1.000000
HOCl, 267, 252, 1.000000
OH, 279, 252, -1.000000
NO3, 283, 252, 1.000000
CH3Cl, 100, 253, -1.000000
H2O, 273, 253, 1.000000
OH, 279, 253, -1.000000
HO2, 281, 253, 1.000000
Cl, 285, 253, 1.000000
CH2Cl2, 73, 254, -1.000000
OH, 279, 254, -1.000000
HO2, 281, 254, 1.000000
Cl, 285, 254, 2.000000
CHCl3, 68, 255, -1.000000
OH, 279, 255, -1.000000
HO2, 281, 255, 1.000000
Cl, 285, 255, 3.000000
CH3CCl3, 39, 256, -1.000000
H2O, 273, 256, 1.000000
OH, 279, 256, -1.000000
Cl, 285, 256, 3.000000
HCFC22, 81, 257, -1.000000
H2O, 273, 257, 1.000000
OH, 279, 257, -1.000000
Cl, 285, 257, 1.000000
HCFC141b, 79, 258, -1.000000
H2O, 273, 258, 1.000000
OH, 279, 258, -1.000000
Cl, 285, 258, 2.000000
HCFC142b, 80, 259, -1.000000
H2O, 273, 259, 1.000000
OH, 279, 259, -1.000000
Cl, 285, 259, 1.000000
HCFC123, 78, 260, -1.000000
H2O, 273, 260, 1.000000
OH, 279, 260, -1.000000
Cl, 285, 260, 2.000000
LCH4, 36, 261, 1.000000
CH4, 186, 261, -1.000000
MO2, 263, 261, 1.000000
HCl, 271, 261, 1.000000
Cl, 285, 261, -1.000000
PCO, 33, 262, 1.000000
CO, 258, 262, 1.000000
CH2O, 262, 262, -1.000000
HCl, 271, 262, 1.000000
HO2, 281, 262, 1.000000
Cl, 285, 262, -1.000000
LOx, 32, 263, 1.000000
O3, 269, 263, -1.000000
ClO, 277, 263, 1.000000
Cl, 285, 263, -1.000000
H, 173, 264, 1.000000
HCl, 271, 264, 1.000000
Cl, 285, 264, -1.000000
H2O2, 208, 265, -1.000000
HCl, 271, 265, 1.000000
HO2, 281, 265, 1.000000
Cl, 285, 265, -1.000000
HCl, 271, 266, 1.000000
HO2, 281, 266, -1.000000
Cl, 285, 266, -1.000000
ClO, 277, 267, 1.000000
OH, 279, 267, 1.000000
HO2, 281, 267, -1.000000
Cl, 285, 267, -1.000000
ClO, 277, 268, -1.000000
O, 284, 268, -1.000000
Cl, 285, 268, 1.000000
HOCl, 267, 269, 1.000000
ClO, 277, 269, -1.000000
HO2, 281, 269, -1.000000
NO2, 270, 270, 1.000000
ClO, 277, 270, -1.000000
NO, 280, 270, -1.000000
Cl, 285, 270, 1.000000
ClNO3, 259, 271, 1.000000
NO2, 270, 271, -1.000000
ClO, 277, 271, -1.000000
Cl2, 192, 272, 1.000000
ClO, 277, 272, -2.000000
ClOO, 103, 273, 1.000000
ClO, 277, 273, -2.000000
Cl, 285, 273, 1.000000
OClO, 107, 274, 1.000000
ClO, 277, 274, -2.000000
Cl, 285, 274, 1.000000
ClOO, 103, 275, 1.000000
Cl, 285, 275, -1.000000
ClOO, 103, 276, -1.000000
Cl, 285, 276, 1.000000
Cl2O2, 72, 277, 1.000000
ClO, 277, 277, -2.000000
Cl2O2, 72, 278, -1.000000
ClO, 277, 278, 2.000000
ClOO, 103, 279, -1.000000
Cl2, 192, 279, 1.000000
Cl, 285, 279, -1.000000
ClOO, 103, 280, -1.000000
ClO, 277, 280, 2.000000
Cl, 285, 280, -1.000000
OClO, 107, 281, 1.000000
BrO, 274, 281, -1.000000
ClO, 277, 281, -1.000000
Br, 287, 281, 1.000000
ClOO, 103, 282, 1.000000
BrO, 274, 282, -1.000000
ClO, 277, 282, -1.000000
Br, 287, 282, 1.000000
BrCl, 132, 283, 1.000000
BrO, 274, 283, -1.000000
ClO, 277, 283, -1.000000
ClNO3, 259, 284, -1.000000
ClO, 277, 284, 1.000000
NO3, 283, 284, 1.000000
O, 284, 284, -1.000000
Cl2, 192, 285, 1.000000
ClNO3, 259, 285, -1.000000
NO3, 283, 285, 1.000000
Cl, 285, 285, -1.000000
PCO, 33, 286, 1.000000
CH3Cl, 100, 286, -1.000000
CO, 258, 286, 1.000000
HCl, 271, 286, 2.000000
HO2, 281, 286, 1.000000
Cl, 285, 286, -1.000000
PCO, 33, 287, 1.000000
CH2Cl2, 73, 287, -1.000000
CO, 258, 287, 1.000000
HCl, 271, 287, 1.000000
HO2, 281, 287, 1.000000
Cl, 285, 287, 1.000000
PCO, 33, 288, 1.000000
CHCl3, 68, 288, -1.000000
CO, 258, 288, 1.000000
HCl, 271, 288, 1.000000
HO2, 281, 288, 1.000000
Cl, 285, 288, 2.000000
CO2, 6, 289, 1.000000
HCOOH, 207, 289, -1.000000
HCl, 271, 289, 1.000000
H2O, 273, 289, 1.000000
Cl, 285, 289, -1.000000
CH2O, 262, 290, 1.000000
MO2, 263, 290, -1.000000
ClO, 277, 290, 1.000000
HO2, 281, 290, 1.000000
Cl, 285, 290, -1.000000
MP, 134, 291, -1.000000
MO2, 263, 291, 1.000000
HCl, 271, 291, 1.000000
Cl, 285, 291, -1.000000
C2H6, 157, 292, -1.000000
ETO2, 213, 292, 1.000000
HCl, 271, 292, 1.000000
Cl, 285, 292, -1.000000
ETO2, 213, 293, -1.000000
ALD2, 261, 293, 1.000000
ClO, 277, 293, 1.000000
HO2, 281, 293, 1.000000
Cl, 285, 293, -1.000000
OTHRO2, 235, 294, -1.000000
ALD2, 261, 294, 1.000000
ClO, 277, 294, 1.000000
HO2, 281, 294, 1.000000
Cl, 285, 294, -1.000000
MOH, 214, 295, -1.000000
CH2O, 262, 295, 1.000000
HCl, 271, 295, 1.000000
HO2, 281, 295, 1.000000
Cl, 285, 295, -1.000000
EOH, 129, 296, -1.000000
ALD2, 261, 296, 1.000000
HCl, 271, 296, 1.000000
Cl, 285, 296, -1.000000
CO2, 6, 297, 1.000000
ACTA, 215, 297, -1.000000
MO2, 263, 297, 1.000000
HCl, 271, 297, 1.000000
Cl, 285, 297, -1.000000
C3H8, 121, 298, -1.000000
B3O2, 253, 298, 1.000000
HCl, 271, 298, 1.000000
Cl, 285, 298, -1.000000
C3H8, 121, 299, -1.000000
A3O2, 233, 299, 1.000000
HCl, 271, 299, 1.000000
Cl, 285, 299, -1.000000
ACET, 219, 300, -1.000000
ATO2, 248, 300, 1.000000
HCl, 271, 300, 1.000000
Cl, 285, 300, -1.000000
ISOP, 220, 301, -1.000000
IHOO1, 242, 301, 0.500000
IHOO4, 243, 301, 0.500000
HCl, 271, 301, 1.000000
Cl, 285, 301, -1.000000
ALK4, 113, 302, -1.000000
R4O2, 252, 302, 1.000000
HCl, 271, 302, 1.000000
Cl, 285, 302, -1.000000
PO2, 204, 303, 1.000000
PRPE, 254, 303, -1.000000
HCl, 271, 303, 1.000000
Cl, 285, 303, -1.000000
PO2, 204, 304, 1.000000
PRPE, 254, 304, -1.000000
HBr, 272, 304, 1.000000
Br, 287, 304, -1.000000
INO, 56, 305, 1.000000
I, 265, 305, -1.000000
NO, 280, 305, -1.000000
INO, 56, 306, -2.000000
I2, 139, 306, 1.000000
NO, 280, 306, 2.000000
IONO, 199, 307, 1.000000
I, 265, 307, -1.000000
NO2, 270, 307, -1.000000
IONO, 199, 308, -1.000000
I, 265, 308, 1.000000
NO2, 270, 308, 1.000000
I2, 139, 309, 1.000000
IONO, 199, 309, -2.000000
NO2, 270, 309, 2.000000
I2, 139, 310, -1.000000
I, 265, 310, 1.000000
IONO2, 266, 310, 1.000000
NO3, 283, 310, -1.000000
IO, 223, 311, -1.000000
IONO2, 266, 311, 1.000000
NO2, 270, 311, -1.000000
IO, 223, 312, 1.000000
IONO2, 266, 312, -1.000000
NO2, 270, 312, 1.000000
I2, 139, 313, 1.000000
I, 265, 313, -1.000000
IONO2, 266, 313, -1.000000
NO3, 283, 313, 1.000000
IO, 223, 314, 1.000000
I, 265, 314, -1.000000
BrO, 274, 314, -1.000000
Br, 287, 314, 1.000000
IO, 223, 315, -1.000000
I, 265, 315, 1.000000
BrO, 274, 315, -1.000000
Br, 287, 315, 1.000000
OIO, 90, 316, 1.000000
IO, 223, 316, -1.000000
BrO, 274, 316, -1.000000
Br, 287, 316, 1.000000
I2O3, 47, 317, 1.000000
OIO, 90, 317, -1.000000
IO, 223, 317, -1.000000
I2O4, 38, 318, 1.000000
OIO, 90, 318, -2.000000
I2O4, 38, 319, -1.000000
OIO, 90, 319, 2.000000
OIO, 90, 320, -1.000000
IO, 223, 320, 1.000000
NO2, 270, 320, 1.000000
NO, 280, 320, -1.000000
OClO, 107, 321, 1.000000
IO, 223, 321, -1.000000
I, 265, 321, 1.000000
ClO, 277, 321, -1.000000
IO, 223, 322, -1.000000
I, 265, 322, 1.000000
ClO, 277, 322, -1.000000
Cl, 285, 322, 1.000000
ICl, 98, 323, 1.000000
IO, 223, 323, -1.000000
ClO, 277, 323, -1.000000
LOx, 32, 324, 1.000000
IO, 223, 324, 1.000000
I, 265, 324, -1.000000
O3, 269, 324, -1.000000
HI, 65, 325, 1.000000
I, 265, 325, -1.000000
HO2, 281, 325, -1.000000
I2, 139, 326, -1.000000
HOI, 264, 326, 1.000000
I, 265, 326, 1.000000
OH, 279, 326, -1.000000
HI, 65, 327, -1.000000
I, 265, 327, 1.000000
H2O, 273, 327, 1.000000
OH, 279, 327, -1.000000
IO, 223, 328, 1.000000
HOI, 264, 328, -1.000000
H2O, 273, 328, 1.000000
OH, 279, 328, -1.000000
IO, 223, 329, -1.000000
HOI, 264, 329, 1.000000
HO2, 281, 329, -1.000000
IO, 223, 330, -1.000000
I, 265, 330, 1.000000
NO2, 270, 330, 1.000000
NO, 280, 330, -1.000000
OIO, 90, 331, 1.000000
IO, 223, 331, -2.000000
I, 265, 331, 1.000000
I2O2, 40, 332, 1.000000
IO, 223, 332, -2.000000
I2O2, 40, 333, -1.000000
IO, 223, 333, 2.000000
I2O2, 40, 334, -1.000000
OIO, 90, 334, 1.000000
I, 265, 334, 1.000000
CH3I, 43, 335, -1.000000
MO2, 263, 335, 1.000000
I, 265, 335, 1.000000
H2O, 273, 335, 1.000000
OH, 279, 335, -1.000000
CO2, 6, 336, 1.000000
ETHLN, 205, 336, -1.000000
CH2O, 262, 336, 1.000000
NO2, 270, 336, 1.000000
OH, 279, 336, -1.000000
PROPNN, 194, 337, -1.000000
MGLY, 228, 337, 1.000000
NO2, 270, 337, 1.000000
OH, 279, 337, -1.000000
LCO, 34, 338, 1.000000
CH2OO, 230, 338, -1.000000
CO, 258, 338, -1.000000
CH2O, 262, 338, 1.000000
CH2OO, 230, 339, -1.000000
CH2O, 262, 339, 1.000000
NO2, 270, 339, 1.000000
NO, 280, 339, -1.000000
CH2OO, 230, 340, -1.000000
CH2O, 262, 340, 1.000000
NO2, 270, 340, -1.000000
NO3, 283, 340, 1.000000
PH2O2, 37, 341, 0.060000
HMHP, 83, 341, 0.730000
HCOOH, 207, 341, 0.210000
H2O2, 208, 341, 0.060000
CH2OO, 230, 341, -1.000000
CH2O, 262, 341, 0.060000
H2O, 273, 341, -1.000000
PH2O2, 37, 342, 0.060000
HMHP, 83, 342, 0.400000
HCOOH, 207, 342, 0.540000
H2O2, 208, 342, 0.060000
CH2OO, 230, 342, -1.000000
CH2O, 262, 342, 0.060000
H2O, 273, 342, -2.000000
LOx, 32, 343, 1.000000
CH2OO, 230, 343, -1.000000
CH2O, 262, 343, 1.000000
O3, 269, 343, -1.000000
PSO4, 35, 344, 1.000000
SO4, 108, 344, 1.000000
CH2OO, 230, 344, -1.000000
CH2O, 262, 344, 1.000000
SO2, 286, 344, -1.000000
LCO, 34, 345, 1.000000
CH3CHOO, 191, 345, -1.000000
CO, 258, 345, -1.000000
ALD2, 261, 345, 1.000000
CH3CHOO, 191, 346, -1.000000
ALD2, 261, 346, 1.000000
NO2, 270, 346, 1.000000
NO, 280, 346, -1.000000
CH3CHOO, 191, 347, -1.000000
ALD2, 261, 347, 1.000000
NO2, 270, 347, -1.000000
NO3, 283, 347, 1.000000
PSO4, 35, 348, 1.000000
SO4, 108, 348, 1.000000
CH3CHOO, 191, 348, -1.000000
ALD2, 261, 348, 1.000000
SO2, 286, 348, -1.000000
PH2O2, 37, 349, 1.000000
CH3CHOO, 191, 349, -1.000000
H2O2, 208, 349, 1.000000
ALD2, 261, 349, 1.000000
H2O, 273, 349, -1.000000
CH3CHOO, 191, 350, -1.000000
ACTA, 215, 350, 1.000000
H2O, 273, 350, -1.000000
MTPA, 150, 351, -1.000000
PIO2, 234, 351, 1.000000
OH, 279, 351, -1.000000
MTPO, 151, 352, -1.000000
PIO2, 234, 352, 1.000000
OH, 279, 352, -1.000000
MONITS, 174, 353, 0.120000
MONITU, 196, 353, 0.060000
HCOOH, 207, 353, 0.070000
ACET, 219, 353, 0.110000
MEK, 222, 353, 0.440000
PIO2, 234, 353, -1.000000
RCHO, 255, 353, 0.430000
CH2O, 262, 353, 0.230000
NO2, 270, 353, 0.820000
NO, 280, 353, -1.000000
HO2, 281, 353, 0.820000
PIP, 119, 354, 1.000000
PIO2, 234, 354, -1.000000
HO2, 281, 354, -1.000000
ROH, 154, 355, 0.250000
MOH, 214, 355, 0.250000
MEK, 222, 355, 0.750000
PIO2, 234, 355, -1.000000
RCHO, 255, 355, 0.750000
CH2O, 262, 355, 0.750000
MO2, 263, 355, -1.000000
HO2, 281, 355, 1.000000
MEK, 222, 356, 1.000000
PIO2, 234, 356, -1.000000
RCHO, 255, 356, 1.000000
MCO3, 257, 356, -1.000000
MO2, 263, 356, 0.500000
HO2, 281, 356, 0.500000
MEK, 222, 357, 1.000000
PIO2, 234, 357, -1.000000
RCHO, 255, 357, 1.000000
NO2, 270, 357, 1.000000
HO2, 281, 357, 1.000000
NO3, 283, 357, -1.000000
LOx, 32, 358, 1.000000
PCO, 33, 358, 0.140000
PH2O2, 37, 358, 0.020000
MTPA, 150, 358, -1.000000
H2O2, 208, 358, 0.020000
MEK, 222, 358, 0.530000
KO2, 249, 358, 0.620000
RCHO, 255, 358, 0.650000
CO, 258, 358, 0.140000
O3, 269, 358, -1.000000
OH, 279, 358, 0.850000
HO2, 281, 358, 0.100000
LOx, 32, 359, 1.000000
PCO, 33, 359, 0.140000
PH2O2, 37, 359, 0.020000
MTPO, 151, 359, -1.000000
H2O2, 208, 359, 0.020000
MEK, 222, 359, 0.530000
KO2, 249, 359, 0.620000
RCHO, 255, 359, 0.650000
CO, 258, 359, 0.140000
O3, 269, 359, -1.000000
OH, 279, 359, 0.850000
HO2, 281, 359, 0.100000
MTPA, 150, 360, -1.000000
OLNN, 211, 360, 0.100000
OLND, 212, 360, 0.900000
NO3, 283, 360, -1.000000
MTPO, 151, 361, -1.000000
OLNN, 211, 361, 0.100000
OLND, 212, 361, 0.900000
NO3, 283, 361, -1.000000
LIMO, 165, 362, -1.000000
LIMO2, 221, 362, 1.000000
OH, 279, 362, -1.000000
LOx, 32, 363, 1.000000
PCO, 33, 363, 0.140000
PH2O2, 37, 363, 0.020000
LIMO, 165, 363, -1.000000
HCOOH, 207, 363, 0.010000
H2O2, 208, 363, 0.020000
OTHRO2, 235, 363, 0.160000
MACR, 247, 363, 0.790000
KO2, 249, 363, 0.420000
PRPE, 254, 363, 0.460000
CO, 258, 363, 0.140000
CH2O, 262, 363, 0.040000
O3, 269, 363, -1.000000
OH, 279, 363, 0.850000
HO2, 281, 363, 0.100000
LIMO, 165, 364, -1.000000
OLNN, 211, 364, 0.500000
OLND, 212, 364, 0.500000
NO3, 283, 364, -1.000000
MONITU, 196, 365, 0.220000
LIMO2, 221, 365, -1.000000
MEK, 222, 365, 0.289000
HAC, 246, 365, 0.058000
PRPE, 254, 365, 0.289000
RCHO, 255, 365, 0.491000
CH2O, 262, 365, 0.231000
NO2, 270, 365, 0.780000
NO, 280, 365, -1.000000
HO2, 281, 365, 0.686000
PIP, 119, 366, 1.000000
LIMO2, 221, 366, -1.000000
HO2, 281, 366, -1.000000
ROH, 154, 367, 0.250000
MOH, 214, 367, 0.250000
LIMO2, 221, 367, -1.000000
MACR, 247, 367, 0.308000
PRPE, 254, 367, 0.192000
CH2O, 262, 367, 1.040000
MO2, 263, 367, -1.000000
HO2, 281, 367, 1.000000
LIMO2, 221, 368, -1.000000
MACR, 247, 368, 0.308000
PRPE, 254, 368, 0.192000
MCO3, 257, 368, -1.000000
CH2O, 262, 368, 0.385000
MO2, 263, 368, 0.500000
HO2, 281, 368, 0.500000
LIMO2, 221, 369, -1.000000
MACR, 247, 369, 0.615000
PRPE, 254, 369, 0.385000
CH2O, 262, 369, 0.385000
NO2, 270, 369, 1.000000
HO2, 281, 369, 1.000000
NO3, 283, 369, -1.000000
PIP, 119, 370, -1.000000
MEK, 222, 370, 0.410000
R4O2, 252, 370, 0.440000
RCHO, 255, 370, 0.080000
OH, 279, 370, -0.510000
MONITS, 174, 371, 1.000000
OLNN, 211, 371, -1.000000
NO2, 270, 371, 1.000000
NO, 280, 371, -1.000000
HO2, 281, 371, 1.000000
OLND, 212, 372, -1.000000
MEK, 222, 372, 0.464000
RCHO, 255, 372, 1.240000
CH2O, 262, 372, 0.287000
NO2, 270, 372, 2.000000
NO, 280, 372, -1.000000
MONITS, 174, 373, 0.700000
MONITU, 196, 373, 0.300000
