MCRHNB                          ,               69895636.686512
BrNO3                           ,                9257613.329908
H                               ,                      0.823731
MONITS                          ,               82841419.789556
ETOO                            ,                9490693.548160
BZCO3                           ,                 196126.553394
INPB                            ,               14412981.047038
AROMRO2                         ,                7824212.109395
IHPOO1                          ,                 286778.199744
IHPOO2                          ,                  87136.391493
MVKHCB                          ,              267117589.916877
HPALD1                          ,               19657102.247223
IHPOO3                          ,                 418594.927650
HPALD2                          ,              120556561.980645
IHPNDOO                         ,                 165290.226435
CH4                             ,         41253355114780.046875
BENZO2                          ,                1744562.830087
HNO2                            ,              432709285.284087
HC5A                            ,              172655936.058758
ICHOO                           ,                  29759.133539
CH3CHOO                         ,                    192.075420
Cl2                             ,                  79560.361741
ATOOH                           ,             1017417525.462425
PROPNN                          ,              724119070.525854
MCRHN                           ,               26971341.841349
MONITU                          ,                9193688.200569
PRN1                            ,                   4018.787491
R4N2                            ,              930531654.460258
IONO                            ,                   8142.528578
MVKOHOO                         ,               32075555.679436
MCROHOO                         ,                 817811.761604
ICPDH                           ,               22380633.570377
MACR1OO                         ,                1922616.375494
PO2                             ,                2686030.943196
ETHLN                           ,               98725107.251342
NPHEN                           ,              413575950.476973
HCOOH                           ,            15726032454.549706
H2O2                            ,            24038085304.784180
ITCN                            ,              322662879.859120
IHN4                            ,               10965510.811851
OLNN                            ,                  18885.733196
OLND                            ,                 158079.534224
ETO2                            ,                 362731.533609
MOH                             ,            48921995697.351830
ACTA                            ,             3777986439.719734
IHN1                            ,                9524739.626349
IHPNBOO                         ,                  28744.302160
GLYX                            ,             1291066428.708940
ACET                            ,            40651906383.930077
ISOP                            ,             3159710405.792249
LIMO2                           ,                 107522.899302
MEK                             ,             7043280356.645092
IO                              ,                2167170.671225
IEPOXBOO                        ,                  76231.855757
IEPOXAOO                        ,                 203878.493405
MVKHP                           ,              253161417.565940
MCRHP                           ,              324651569.383765
MGLY                            ,             3022454145.038308
IDHNBOO                         ,                 994866.064173
CH2OO                           ,                    114.149059
ClNO2                           ,                1581295.527993
GLYC                            ,            12199354998.982687
A3O2                            ,                1806695.624953
PIO2                            ,                5359513.526792
OTHRO2                          ,               12383152.500908
ICN                             ,               34546947.413354
MVKN                            ,              377784358.205307
ITHN                            ,              209729275.690808
IDN                             ,              158125986.294123
INO2B                           ,                1618618.024167
INO2D                           ,                1862549.985055
IHOO1                           ,               43070423.867566
IHOO4                           ,               19501265.184937
MVK                             ,             7423434323.897778
MACRNO2                         ,                  49785.536398
HAC                             ,             4606821736.400013
MACR                            ,             2880888879.367885
ATO2                            ,                3314919.026422
KO2                             ,                2213448.245480
RCO3                            ,                5445769.592807
R4N1                            ,                 573521.999832
R4O2                            ,               19400839.532933
B3O2                            ,                6785896.586974
PRPE                            ,              467385223.392490
RCHO                            ,             1940722999.664656
HOBr                            ,                1883354.406968
MCO3                            ,               33717154.429986
CO                              ,          2573954244947.307617
